ID     Step     MaxR |    avgR     stdR | avgS stdS |    objC     etc.
Act FileNotFound when load_model: output/2022-04-25_22-58-15
Critic FileNotFound when load_model: output/2022-04-25_22-58-15
pygame 2.0.1 (SDL 2.0.14, Python 3.6.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
O  4.10e+03     0.00 |
 O  4.10e+03     0.00 |    0.00     0.00 |  127    0 |    0.06     0.08    -3.99     0.25
 O  1.64e+04     0.00 |    0.00     0.00 |  127    0 |    0.12     0.07    -3.97     9.62
 O  2.87e+04     0.00 |    0.00     0.00 |  127    0 |    0.12     0.03    -3.98     0.41
 O  4.10e+04     0.00 |    0.00     0.00 |  127    0 |    0.03     0.03    -3.97     0.00
 O  5.32e+04     0.00 |    0.00     0.00 |  127    0 |    0.02     0.08    -3.92     0.00
 O  6.55e+04     0.00 |    0.00     0.00 |  127    0 |    0.07     0.06    -3.93     0.19
O  7.78e+04     0.07 |
 O  7.78e+04     0.07 |    0.07     0.25 |  127    0 |    0.03     0.05    -3.83     0.00
O  9.01e+04    10.40 |
 O  9.01e+04    10.40 |   10.40    55.63 |  126    5 |    0.04     0.06    -3.68     0.06
 O  1.02e+05    10.40 |    0.15     0.48 |  127    0 |    0.09    -0.02    -3.60     0.22
 O  1.15e+05    10.40 |    0.40     1.16 |  127    0 |    0.10     0.08    -3.56     0.41
 O  1.27e+05    10.40 |    0.25     0.62 |  127    0 |    0.12    -0.01    -3.55     0.41
 O  1.39e+05    10.40 |    0.10     0.44 |  127    0 |    0.09     0.03    -3.42     0.31
 O  1.52e+05    10.40 |    0.25     0.54 |  127    0 |    0.08    -0.16    -3.29     0.31
 O  1.64e+05    10.40 |    0.30     0.71 |  127    0 |    0.11    -0.00    -3.26     0.41
 O  1.76e+05    10.40 |    0.10     0.44 |  127    0 |    0.10    -0.04    -3.02     0.47
 O  1.88e+05    10.40 |    0.45     1.16 |  127    0 |    0.12    -0.04    -2.73     9.91
 O  2.01e+05    10.40 |    0.20     0.60 |  127    0 |    0.16     0.02    -2.67     0.66
 O  2.13e+05    10.40 |    0.00     0.00 |  127    0 |    0.03     0.06    -2.25     0.09
 O  2.25e+05    10.40 |    0.00     0.00 |  127    0 |    0.18     0.07    -2.30     9.75
 O  2.38e+05    10.40 |    0.00     0.00 |  127    0 |    0.13     0.08    -1.86     9.45
