ID     Step     MaxR |    avgR     stdR | avgS stdS |    objC     etc.
Act FileNotFound when load_model: output/2022-04-27_16-25-48
Critic FileNotFound when load_model: output/2022-04-27_16-25-48
pygame 2.0.1 (SDL 2.0.14, Python 3.6.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
O  4.10e+03     0.00 |
 O  4.10e+03     0.00 |    0.00     0.00 |  127    0 |    0.08     0.10    -3.99     0.19
 O  1.64e+04     0.00 |    0.00     0.00 |  127    0 |    0.02    -0.06    -3.97     0.09
 O  2.87e+04     0.00 |    0.00     0.00 |  127    0 |    0.04     0.10    -3.97     0.00
 O  4.10e+04     0.00 |    0.00     0.00 |  127    0 |    0.11     0.01    -3.96     0.25
 O  5.32e+04     0.00 |    0.00     0.00 |  127    0 |    0.15     0.08    -3.99     0.00
O  6.55e+04    31.13 |
 O  6.55e+04    31.13 |   31.13    92.41 |  122   18 |    0.06     0.01    -3.91     0.12
 O  7.78e+04    31.13 |    0.40     1.83 |  123   19 |    0.11     0.10    -3.89    -0.25
 O  9.01e+04    31.13 |   30.70    91.77 |  121   18 |    0.15    -0.04    -3.85     0.09
O  1.02e+05    50.50 |
 ID     Step  TargetR |    avgR     stdR |  UsedTime  ########
O  1.02e+05    50.00 |   50.50   113.55 |       564  ########
 O  1.02e+05    50.50 |   50.50   113.55 |  114   27 |    0.11    -0.01    -3.96     0.06
 O  1.15e+05    50.50 |   30.75    92.59 |  123   13 |    0.09    -0.00    -3.88     0.44
 O  1.27e+05    50.50 |   -0.10     1.48 |  123   17 |    0.14     0.02    -3.89    -0.06
 O  1.39e+05    50.50 |   -0.20     1.40 |  125    9 |    0.14    -0.17    -3.72     9.81
 O  1.52e+05    50.50 |   30.40    92.04 |  122   16 |    0.12     0.10    -3.75    -0.06
 O  1.64e+05    50.50 |    0.10     0.44 |  127    0 |    0.08    -0.09    -3.78    -0.09
 O  1.76e+05    50.50 |    0.00     0.00 |  127    0 |    0.04     0.05    -3.65     0.09
 O  1.88e+05    50.50 |    0.25     1.09 |  127    0 |    0.09    -0.05    -3.48    -0.41
 O  2.01e+05    50.50 |    0.35     1.15 |  127    0 |    0.10     0.05    -3.39     0.16
 O  2.13e+05    50.50 |   -0.05     0.50 |  127    0 |    0.06     0.07    -3.40     0.09
 O  2.25e+05    50.50 |    0.20     1.12 |  127    0 |    0.08     0.07    -3.21     0.03
 O  2.38e+05    50.50 |    0.00     0.32 |  127    0 |    0.13    -0.00    -3.01     9.42
 O  2.50e+05    50.50 |   -0.30     1.82 |  127    0 |    0.07    -0.01    -3.16     0.22
 O  2.62e+05    50.50 |   15.55    66.64 |  126    3 |    0.02     0.10    -2.91    -0.03
 O  2.74e+05    50.50 |   -0.45     1.36 |  127    0 |    0.07     0.03    -3.05     0.19
 O  2.87e+05    50.50 |   -0.55     2.11 |  127    1 |    0.13     0.01    -3.14     9.94
 O  2.99e+05    50.50 |   15.25    66.94 |  126    5 |    0.14    -0.12    -3.02     0.03
 O  3.11e+05    50.50 |    0.00     0.63 |  127    0 |    0.20    -0.05    -2.84     0.50
 O  3.24e+05    50.50 |   -0.50     1.07 |  127    0 |    0.09     0.05    -2.61     0.09
 O  3.36e+05    50.50 |    0.00     0.63 |  127    0 |    0.12     0.01    -2.58     0.09
 O  3.48e+05    50.50 |   -0.15     1.19 |  127    0 |    0.11    -0.04    -2.45     0.06
 O  3.60e+05    50.50 |   -0.05     1.86 |  127    0 |    0.11    -0.02    -2.19    -0.16
 O  3.73e+05    50.50 |   15.00    66.79 |  124   14 |    0.16    -0.07    -2.22    -0.03
 O  3.85e+05    50.50 |   15.30    67.63 |  122   14 |    0.07     0.06    -2.21     0.06
 O  3.97e+05    50.50 |    0.25     1.97 |  125    7 |    0.12     0.08    -2.17     9.78
 O  4.10e+05    50.50 |   15.05    66.76 |  127    2 |    0.16     0.03    -2.02    -0.38
 O  4.22e+05    50.50 |    0.30     1.19 |  127    0 |    0.08     0.06    -1.86     0.12
 O  4.34e+05    50.50 |   45.25   109.31 |  124    9 |    0.04     0.08    -1.74     0.06
 O  4.46e+05    50.50 |   45.75   109.05 |  122   16 |    0.16     0.05    -1.72     9.69
 O  4.59e+05    50.50 |   31.00    92.52 |  124    9 |    0.04    -0.04    -1.52     0.09
 O  4.71e+05    50.50 |   15.65    67.53 |  125   11 |    0.15     0.01    -1.52     0.34
 O  4.83e+05    50.50 |    0.70     1.52 |  127    0 |    0.07    -0.01    -1.34    -0.19
 O  4.96e+05    50.50 |   -0.30     1.35 |  126    5 |    0.12     0.02    -1.31     0.25
 O  5.08e+05    50.50 |   15.25    66.47 |  125   10 |    0.02     0.00    -1.15     0.03
 O  5.20e+05    50.50 |    0.70     1.55 |  127    0 |    0.11     0.13    -0.90     0.00
[34m[1mwandb[39m[22m: Network error resolved after 0:02:10.173926, resuming normal operation.
 O  5.32e+05    50.50 |   16.15    67.43 |  125    8 |    0.08     0.02    -1.05     0.16
 O  5.45e+05    50.50 |   -0.05     1.69 |  127    0 |    0.11    -0.02    -0.91    -0.16
 O  5.57e+05    50.50 |   30.95    92.53 |  125    7 |    0.00    -0.13    -1.03     0.00
 O  5.69e+05    50.50 |    0.15     2.54 |  127    0 |    0.16     0.05    -0.82     9.76
 O  5.82e+05    50.50 |    0.10     0.44 |  127    0 |    0.11     0.03    -0.62     0.34
 O  5.94e+05    50.50 |    0.20     1.21 |  127    0 |    0.14    -0.01    -0.64     0.19
 O  6.06e+05    50.50 |    0.50     1.28 |  127    0 |    0.14     0.04    -0.60     9.75
 O  6.18e+05    50.50 |    0.25     1.09 |  127    0 |    0.17     0.03    -0.41     9.47
 O  6.31e+05    50.50 |   -0.15     1.19 |  126    2 |    0.20    -0.03    -0.36     9.66
 O  6.43e+05    50.50 |    0.00     0.00 |  127    0 |    0.11     0.07    -0.19     0.06
 O  6.55e+05    50.50 |    0.25     1.09 |  127    0 |    0.11     0.04    -0.36    -0.38
 O  6.68e+05    50.50 |    0.00     0.00 |  127    0 |    0.11    -0.06    -0.32     9.56
 O  6.80e+05    50.50 |    0.20     1.50 |  127    0 |    0.19    -0.02    -0.34    19.16
 O  6.92e+05    50.50 |   -0.10     0.44 |  127    0 |    0.12     0.09    -0.32     0.12
 O  7.05e+05    50.50 |   15.60    67.54 |  126    3 |    0.15     0.03    -0.32     9.21
 O  7.17e+05    50.50 |   -0.10     0.44 |  127    0 |    0.13     0.04    -0.24     0.00
 O  7.29e+05    50.50 |   14.70    66.85 |  126    2 |    0.09     0.11    -0.12    -0.06
 O  7.41e+05    50.50 |    0.00     0.00 |  127    0 |    0.16     0.11    -0.39     0.09
 O  7.54e+05    50.50 |    0.25     1.09 |  127    0 |    0.11     0.01    -0.22    -0.25
 O  7.66e+05    50.50 |    0.25     1.09 |  127    0 |    0.13    -0.06    -0.26    -0.42
 O  7.78e+05    50.50 |    0.00     0.00 |  127    0 |    0.14     0.00    -0.17    -0.09
 O  7.91e+05    50.50 |    0.00     0.00 |  127    0 |    0.20    -0.08    -0.28     9.72
 O  8.03e+05    50.50 |    0.00     0.00 |  127    0 |    0.17     0.02    -0.25     9.53
 O  8.15e+05    50.50 |    0.25     1.09 |  127    0 |    0.01    -0.02    -0.29     0.00
 O  8.27e+05    50.50 |    0.00     0.00 |  127    0 |    0.12     0.06    -0.20     9.41
 O  8.40e+05    50.50 |    0.00     0.00 |  127    0 |    0.07     0.00    -0.14    -0.16
 O  8.52e+05    50.50 |   15.50    67.56 |  126    5 |    0.08    -0.04    -0.06    -0.16
 O  8.64e+05    50.50 |    0.00     0.00 |  127    0 |    0.05    -0.04    -0.15     0.12
 O  8.77e+05    50.50 |    0.00     0.00 |  127    0 |    0.08    -0.10    -0.07    -0.16
 O  8.89e+05    50.50 |    0.00     0.00 |  127    0 |    0.07     0.00    -0.08     0.00
 O  9.01e+05    50.50 |    0.00     0.00 |  127    0 |    0.06    -0.06    -0.03     0.00
 O  9.13e+05    50.50 |   15.35    66.91 |  125   10 |    0.05    -0.03    -0.03     0.06
 O  9.26e+05    50.50 |   -0.10     0.44 |  127    0 |    0.11     0.12    -0.07     0.00
 O  9.38e+05    50.50 |    0.00     0.00 |  127    0 |    0.08    -0.04    -0.02     0.00
 O  9.50e+05    50.50 |    0.00     0.00 |  127    0 |    0.03    -0.04    -0.03     0.00
 O  9.63e+05    50.50 |    0.00     0.00 |  127    0 |    0.02     0.10    -0.00    -0.03
 O  9.75e+05    50.50 |    0.00     0.00 |  127    0 |    0.04     0.02    -0.00     0.06
 O  9.87e+05    50.50 |    0.00     0.00 |  127    0 |    0.04    -0.12    -0.03     0.06
 O  9.99e+05    50.50 |    0.00     0.00 |  127    0 |    0.12     0.10    -0.03     9.55
 O  1.01e+06    50.50 |   15.10    65.36 |  126    5 |    0.04    -0.06    -0.04    -0.06
 O  1.02e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.12    -0.00     0.00
 O  1.04e+06    50.50 |    0.00     0.00 |  127    0 |    0.09     0.03    -0.00     0.22
 O  1.05e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.04    -0.00     0.00
 O  1.06e+06    50.50 |    0.00     0.00 |  127    0 |    0.16     0.04    -0.00     0.00
 O  1.07e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.04    -0.00     0.00
 O  1.09e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.01    -0.00     0.00
 O  1.10e+06    50.50 |   -0.25     1.09 |  127    0 |    0.01    -0.01    -0.00     0.00
 O  1.11e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.01    -0.00     0.00
 O  1.12e+06    50.50 |    0.00     0.00 |  127    0 |    0.14    -0.04    -0.00     9.59
 O  1.13e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.00    -0.02     0.00
 O  1.15e+06    50.50 |    0.00     0.00 |  127    0 |    0.05     0.02    -0.00    -0.06
 O  1.16e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.06    -0.00     0.00
 O  1.17e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.03    -0.00     0.00
 O  1.18e+06    50.50 |    0.00     0.00 |  127    0 |    0.08     0.10    -0.00     0.19
 O  1.20e+06    50.50 |   15.35    66.91 |  125    9 |    0.00     0.01    -0.00     0.00
 O  1.21e+06    50.50 |   -0.10     0.44 |  127    0 |    0.02     0.05    -0.00     0.00
 O  1.22e+06    50.50 |    0.00     0.00 |  127    0 |    0.02    -0.04    -0.00     0.00
 O  1.23e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.06    -0.00     0.00
 O  1.25e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.06    -0.03     0.00
 O  1.26e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.04    -0.04     0.00
 O  1.27e+06    50.50 |    0.00     0.00 |  127    0 |    0.13     0.04    -0.04     0.00
 O  1.28e+06    50.50 |    0.00     0.00 |  127    0 |    0.07     0.10    -0.00     0.00
 O  1.29e+06    50.50 |    0.00     0.00 |  127    0 |    0.07     0.10    -0.01     0.00
 O  1.31e+06    50.50 |    0.00     0.00 |  127    0 |    0.06    -0.05    -0.00     0.00
 O  1.32e+06    50.50 |    0.00     0.00 |  127    0 |    0.03    -0.03    -0.00     0.03
 O  1.33e+06    50.50 |    0.00     0.00 |  127    0 |    0.04     0.07    -0.00     0.00
 O  1.34e+06    50.50 |    0.00     0.00 |  127    0 |    0.08     0.00    -0.00     0.16
 O  1.36e+06    50.50 |    0.00     0.00 |  127    0 |    0.07    -0.07    -0.00     0.16
 O  1.37e+06    50.50 |   15.35    66.91 |  125    9 |    0.04     0.08    -0.00     0.00
 O  1.38e+06    50.50 |   15.50    67.56 |  126    3 |    0.08    -0.01    -0.00    -0.16
 O  1.39e+06    50.50 |    0.00     0.00 |  127    0 |    0.04     0.02    -0.02     0.00
 O  1.40e+06    50.50 |    0.00     0.00 |  127    0 |    0.11    -0.00    -0.01     0.16
 O  1.42e+06    50.50 |    0.00     0.00 |  127    0 |    0.02    -0.07    -0.01     0.00
 O  1.43e+06    50.50 |    0.00     0.00 |  127    0 |    0.06     0.08    -0.00     0.16
 O  1.44e+06    50.50 |    0.00     0.00 |  127    0 |    0.02    -0.04    -0.00     0.00
 O  1.45e+06    50.50 |    0.00     0.00 |  127    0 |    0.05    -0.08    -0.00     0.06
 O  1.47e+06    50.50 |    0.00     0.00 |  127    0 |    0.03     0.03    -0.01    -0.06
 O  1.48e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.07    -0.00     0.00
 O  1.49e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.08    -0.00     0.00
 O  1.50e+06    50.50 |   -0.50     2.18 |  123   17 |    0.00     0.05    -0.00     0.00
 O  1.52e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.12    -0.00     0.00
 O  1.53e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.11    -0.00     0.00
 O  1.54e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.02    -0.00     0.00
 O  1.55e+06    50.50 |    0.00     0.00 |  127    0 |    0.14    -0.02    -0.00     0.00
 O  1.56e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.06    -0.00     0.00
 O  1.58e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.08    -0.00     0.00
 O  1.59e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.07    -0.00     0.00
 O  1.60e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.01    -0.00     0.00
 O  1.61e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.06    -0.00     0.00
 O  1.63e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.03    -0.00     0.00
 O  1.64e+06    50.50 |    0.00     0.00 |  127    0 |    0.04    -0.03    -0.00     0.00
 O  1.65e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.09    -0.00     0.00
 O  1.66e+06    50.50 |    0.00     0.00 |  127    0 |    0.12     0.05    -0.00     9.59
 O  1.68e+06    50.50 |    0.10     0.44 |  127    0 |    0.06    -0.01    -0.01    -0.16
 O  1.69e+06    50.50 |    0.10     0.44 |  127    0 |    0.00     0.02    -0.02     0.00
 O  1.70e+06    50.50 |    0.10     0.44 |  127    0 |    0.00    -0.05    -0.10     0.00
 O  1.71e+06    50.50 |    0.00     0.00 |  127    0 |    0.08     0.06    -0.10    -0.12
 O  1.72e+06    50.50 |    0.00     0.00 |  127    0 |    0.03     0.05    -0.04    -0.09
 O  1.74e+06    50.50 |    0.00     0.00 |  127    0 |    0.13     0.01    -0.11     0.09
 O  1.75e+06    50.50 |    0.00     0.00 |  127    0 |    0.13     0.01    -0.09     9.66
 O  1.76e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.04    -0.03     0.00
 O  1.77e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.02    -0.08     0.00
 O  1.79e+06    50.50 |    0.00     0.00 |  127    0 |    0.12     0.10    -0.04    -0.06
 O  1.80e+06    50.50 |    0.00     0.00 |  127    0 |    0.05    -0.01    -0.05    -0.16
 O  1.81e+06    50.50 |    0.00     0.00 |  127    0 |    0.03     0.05    -0.06    -0.06
 O  1.82e+06    50.50 |    0.00     0.00 |  127    0 |    0.14    -0.05    -0.08     9.52
 O  1.84e+06    50.50 |    0.00     0.00 |  127    0 |    0.10     0.04    -0.09     9.69
 O  1.85e+06    50.50 |    0.25     1.09 |  127    0 |    0.09    -0.00    -0.10     0.16
 O  1.86e+06    50.50 |    0.00     0.00 |  127    0 |    0.05    -0.01    -0.12     0.09
 O  1.87e+06    50.50 |    0.00     0.00 |  127    0 |    0.10     0.06    -0.05    -0.38
 O  1.88e+06    50.50 |    0.00     0.00 |  127    0 |    0.13    -0.05    -0.03     0.28
 O  1.90e+06    50.50 |   15.35    66.91 |  127    2 |    0.01     0.01    -0.04     0.00
